,Wmc,Wmc2,Wmc3,Wmc4,Wmc5,Wmc6,Wmc7,Wmc8,Wmc9,Wmc10,Wmc11,Wmc12,Wmc13,Wmc14,Wmc15,Wmc16,Wmc17,Wmc18,Wmc19,Wmc20,Wmc21,Wmc22,Wmc23,Wmc24,Wmc25,Wmc26,Wmc27,Wmc28,Wmc29,Wmc30,Wmc31,Wmc32,Wmc33,Wmc34,Wmc35,Wmc36,Wmc37,Wmc38,Wmc39,Wmc40,Wmc41,Wmc42,Wmc43,Wmc44,Wmc45,Wmc46,Wmc47,Wmc48,Wmc49,Wmc50,Wmc51,Wmc52,Wmc53,Wmc54,Wmc55,Wmc56,Wmc57,Wmc58,Wmc59,Wmc60,Wmc61,Wmc62,Wmc63,Wmc64,Wmc65,Wmc66,Wmc67,Wmc68,Wmc69,Wmc70,Wmc71,Wmc72,Wmc73,Wmc74,Wmc75,Wmc76,Wmc77,Wmc78,Wmc79,Wmc80,Wmc81,Wmc82,Wmc83,Wmc84,Wmc85,Wmc86,Wmc87,Wmc88,Wmc89,Wmc90,Wmc91,Wmc92,Wmc93,Wmc94,Wmc95,Wmc96,Wmc97,Wmc98,Wmc99,Wmc100,Wmc101,Wmc102,Wmc103,Wmc104,Wmc105,Wmc106,Wmc107,Wmc108,Wmc109,Wmc110,Wmc111,Wmc112,Wmc113,Wmc114,Wmc115,Wmc116,Wmc117,Wmc118,Wmc119,Wmc120,Wmc121,Wmc122,Wmc123,Wmc124,Wmc125,Wmc126,Wmc127,Wmc128,Wmc129,Wmc130,Wmc131,Wmc132,Wmc133,Wmc134,Wmc135,Wmc136,Wmc137,Wmc138,Wmc139,Wmc140,Wmc141,Wmc142,Wmc143,Wmc144,Wmc145,Wmc146,Wmc147,Wmc148,Wmc149,Wmc150
103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4,0,2,0,1,2,10,15,8,10,9,12,15,12,9,24,17,37,33,37,45,45,45,47,65,69,94,101,106,163,162,171,195,215,316,506,593,413,435,522,654,671,782,909,1237,1330,1550,1996,2405,3431,5064,6111,7241,9563,13387,20470,37787,89407,29739,18549,12094,8944,6791,5295,4434,3430,2351,1919,1457,1223,1036,897,731,635,544,470,410,406,355,257,248,242,198,185,204,180,107,76,63,53,66,46,40,46,32,28,17,17,10,11,15,3,7,7,7,17,17,10,7,3,0,2,0,0,0,1,1,0,0,1,0,0,1
102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,5,1,2,2,0,3,3,5,6,1,4,6,2,10,8,10,4,9,6,12,13,20,14,23,26,36,30,21,44,43,50,59,60,86,103,123,127,153,178,183,242,304,380,449,520,627,840,1030,1251,1631,2028,3268,3464,4305,5916,7586,10589,16575,28872,67479,749648,141908,42399,21475,13633,9137,6538,4738,3672,2755,2233,1783,1379,1065,872,686,579,484,418,287,241,230,208,125,126,107,111,90,87,66,60,43,45,38,44,25,25,19,23,19,16,12,8,7,11,16,8,9,8,4,3,2,4,5,0,1,1,2,1,3,1,1,0,0,0,1
101,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,2,2,1,4,1,5,5,6,7,13,14,10,7,5,10,16,17,26,9,19,14,18,27,31,29,24,31,26,39,34,40,53,42,67,61,60,79,153,139,145,1109,198,224,260,479,355,451,501,556,679,1045,1003,1294,1674,2355,3076,4427,6530,10165,17597,45354,130932,32776,15088,8620,5854,4231,3007,2047,1691,1162,1174,1040,621,513,483,383,273,277,237,152,159,109,137,96,81,63,71,60,53,40,42,43,45,28,26,16,27,19,18,15,8,14,15,16,22,12,4,6,7,2,11,1,2,14,8,2,4,3,1,0,0,1,1,1,0,1,0,2
100,1,0,0,1,0,0,1,0,1,1,1,1,2,0,1,0,0,5,3,2,8,4,3,5,7,7,6,4,9,3,10,6,13,11,15,15,7,10,19,17,20,29,16,24,27,28,39,43,38,47,34,54,52,53,89,77,83,102,96,123,134,140,167,198,187,223,282,320,339,452,562,667,800,1004,1259,1600,2188,3149,4419,6842,11843,24357,63578,437178,609933,69685,25419,12333,7070,4570,3162,2138,1649,1181,939,812,599,465,386,352,251,207,200,143,139,113,71,111,68,65,51,43,37,32,33,33,30,22,25,23,16,16,13,12,11,14,9,9,15,10,6,4,5,4,3,2,5,4,2,0,0,1,1,2,1,0,2,1,0,1
99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0,3,1,0,1,3,2,3,2,0,3,0,1,3,2,1,3,2,4,5,5,4,4,6,6,8,10,5,5,6,8,5,7,5,11,10,12,16,11,13,15,31,25,41,47,51,59,64,95,111,152,165,222,305,399,492,673,976,1600,1480,2200,2863,3131,4555,6784,10552,17731,34468,102078,770052,112288,36454,18768,11062,7156,4712,3442,2338,1776,1313,1122,796,646,507,383,345,267,245,189,145,130,113,101,76,79,41,52,39,25,18,20,22,18,12,16,12,8,6,3,2,3,6,7,1,2,1,0,2,2,1,2,0,0,1,0,2,1
98,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,0,0,2,0,2,6,4,6,5,5,2,9,12,19,15,14,24,34,22,24,34,32,43,69,63,68,86,74,118,125,152,161,168,206,275,296,367,447,504,648,761,966,1122,1453,1785,2230,2818,3420,4534,6576,8450,11203,15994,25682,48042,163361,685066,70776,33822,20102,12948,9262,6798,5115,3869,3018,2314,1795,1415,1209,999,803,633,535,466,402,329,252,230,211,191,135,139,127,111,91,89,79,52,65,37,53,28,39,26,25,29,38,22,17,18,8,12,15,5,6,6,4,3,3,2,2,0,1,1,2,0,1,0,3,0,0,0,0,0,1
97,1,0,1,0,0,1,0,1,0,0,0,0,1,1,4,1,3,3,2,5,2,1,10,5,5,4,8,7,12,13,11,11,9,13,16,19,17,26,28,35,34,26,53,44,45,48,67,53,82,91,82,104,113,142,154,166,231,267,328,376,435,629,725,935,1215,1606,2155,3098,4508,7147,11186,20318,41980,106678,544352,266790,72500,31360,16026,9031,5587,3714,2529,1901,1323,1100,831,664,559,443,364,264,213,184,185,130,132,112,96,75,64,58,53,58,32,22,27,21,14,18,19,9,12,12,7,12,11,10,5,5,12,9,6,3,3,5,3,3,0,2,1,3,3,2,2,3,1,1,0,0,2,0,0,2,0,1,1,0,0,1
96,1,1,0,1,0,0,2,2,3,0,2,3,4,7,8,5,7,6,12,9,13,13,17,17,15,32,23,16,28,44,44,40,44,42,59,56,86,96,97,109,144,171,176,214,256,259,310,373,436,533,668,704,856,1010,1216,1562,1878,2213,2800,3849,5449,6719,7677,10370,14541,23132,41910,214464,679334,49784,25084,15884,10725,7899,5810,4539,3530,2818,2179,1860,1522,1276,1106,932,773,645,579,509,440,382,351,293,258,236,198,197,195,157,134,136,148,103,102,103,111,97,60,96,72,87,71,67,60,68,70,51,40,59,48,36,37,33,31,26,15,20,14,11,10,4,8,4,4,2,3,3,0,0,1,0,2,2,0,0,1,0,0,0,0,1
95,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,2,1,1,1,2,2,0,2,1,0,4,4,2,1,7,5,3,8,4,6,9,7,8,13,12,18,24,14,17,28,15,36,35,30,47,44,69,79,78,84,114,122,163,154,198,243,252,330,377,456,536,642,812,1054,1568,2088,2415,2583,3548,5140,6762,9682,15424,27404,73342,806898,108981,33833,18023,11052,7561,5380,3937,2886,2189,1778,1345,1099,844,693,548,478,414,311,285,248,211,200,158,136,110,108,64,64,55,50,55,35,41,22,19,22,10,15,15,7,14,11,5,9,5,2,4,2,2,5,3,3,4,1,2,1,2,2,0,0,2,0,0,0,1,0,1
94,1,1,2,0,1,2,1,4,1,4,4,0,1,3,5,4,2,7,6,4,11,3,10,7,8,15,16,19,21,25,21,18,26,35,30,30,31,44,41,51,56,54,73,75,86,84,81,99,128,126,159,162,187,239,281,319,336,408,421,530,579,660,738,888,1125,1266,1577,2074,2708,3439,4634,6504,9479,14242,22987,39406,81230,289901,464470,89539,45516,25376,15756,10065,6870,4700,3313,2438,1866,1411,1140,928,764,591,485,421,362,280,284,246,195,168,150,113,110,99,92,102,79,59,74,47,40,40,37,37,27,26,27,22,16,17,18,12,8,10,9,11,10,16,4,7,9,3,4,5,1,2,4,2,1,4,0,1,1,1,1,1,0,1
93,1,0,0,0,0,2,0,0,0,2,0,1,1,1,0,0,0,1,2,2,2,0,2,8,7,11,12,16,18,11,21,15,17,41,36,43,38,54,45,48,79,87,89,106,137,124,145,169,199,239,253,323,384,444,509,587,699,810,953,1138,1399,1699,2094,2576,3145,4162,5434,6908,9428,12825,18625,27777,43349,74630,151440,372710,200918,90064,50386,31143,21009,14715,10448,7715,5925,4442,3367,2739,2164,1789,1422,1177,950,743,709,571,478,442,352,291,251,215,216,177,161,126,107,101,84,80,61,57,50,28,32,28,29,26,20,25,13,17,8,6,5,4,2,5,5,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
92,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,2,0,3,1,1,0,1,1,1,1,0,1,1,6,3,7,7,2,12,12,11,7,17,10,9,27,19,25,34,33,27,35,49,58,57,55,97,85,113,148,141,175,231,280,328,401,531,610,691,883,1153,1382,1720,2195,2739,3424,4730,6398,9549,13130,19084,31883,70271,699698,162982,46894,24820,15608,10903,7680,5439,4076,3032,2420,1878,1368,1097,843,690,565,459,375,326,272,219,179,151,147,135,104,114,92,78,93,75,71,58,66,52,38,44,40,41,18,37,19,26,19,24,18,18,13,15,10,5,5,7,11,2,4,2,0,1,1,3,1,1,0,2,0,0,1
