,Wmc,Wmc2,Wmc3,Wmc4,Wmc5,Wmc6,Wmc7,Wmc8,Wmc9,Wmc10,Wmc11,Wmc12,Wmc13,Wmc14,Wmc15,Wmc16,Wmc17,Wmc18,Wmc19,Wmc20,Wmc21,Wmc22,Wmc23,Wmc24,Wmc25,Wmc26,Wmc27,Wmc28,Wmc29,Wmc30,Wmc31,Wmc32,Wmc33,Wmc34,Wmc35,Wmc36,Wmc37,Wmc38,Wmc39,Wmc40,Wmc41,Wmc42,Wmc43,Wmc44,Wmc45,Wmc46,Wmc47,Wmc48,Wmc49,Wmc50,Wmc51,Wmc52,Wmc53,Wmc54,Wmc55,Wmc56,Wmc57,Wmc58,Wmc59,Wmc60,Wmc61,Wmc62,Wmc63,Wmc64,Wmc65,Wmc66,Wmc67,Wmc68,Wmc69,Wmc70,Wmc71,Wmc72,Wmc73,Wmc74,Wmc75,Wmc76,Wmc77,Wmc78,Wmc79,Wmc80,Wmc81,Wmc82,Wmc83,Wmc84,Wmc85,Wmc86,Wmc87,Wmc88,Wmc89,Wmc90,Wmc91,Wmc92,Wmc93,Wmc94,Wmc95,Wmc96,Wmc97,Wmc98,Wmc99,Wmc100,Wmc101,Wmc102,Wmc103,Wmc104,Wmc105,Wmc106,Wmc107,Wmc108,Wmc109,Wmc110,Wmc111,Wmc112,Wmc113,Wmc114,Wmc115,Wmc116,Wmc117,Wmc118,Wmc119,Wmc120,Wmc121,Wmc122,Wmc123,Wmc124,Wmc125,Wmc126,Wmc127,Wmc128,Wmc129,Wmc130,Wmc131,Wmc132,Wmc133,Wmc134,Wmc135,Wmc136,Wmc137,Wmc138,Wmc139,Wmc140,Wmc141,Wmc142,Wmc143,Wmc144,Wmc145,Wmc146,Wmc147,Wmc148,Wmc149,Wmc150
742,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,4,4,10,20,65,135,250,310,407,485,677,745,2186,1262,960,642,665,1071,1239,1300,1576,1926,2096,2307,2695,2820,3674,4996,6467,8912,12174,16923,25957,39349,71569,128335,317931,597214,183794,91364,48837,30822,20845,13285,9372,7447,6367,5077,3529,2308,1818,2083,2058,1492,879,519,495,485,408,490,472,357,257,604,570,581,141,41,20,11,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
741,1,0,0,0,0,0,0,2,0,1,0,0,3,0,0,1,1,3,2,0,2,1,3,1,5,4,8,10,9,10,13,16,14,21,16,21,22,26,34,43,44,44,61,86,80,107,93,115,128,146,178,217,248,273,341,423,504,584,753,892,1082,1451,1781,2296,2789,3646,4644,6103,8320,11458,15075,21126,31119,52275,118713,988621,168462,61662,34235,21830,14628,10544,7572,5687,4159,3068,2312,1775,1467,1114,927,739,657,461,410,365,279,245,209,191,139,138,109,98,74,58,65,53,44,42,22,37,24,25,23,25,26,17,10,7,8,7,8,4,3,9,2,11,3,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
740,1,0,1,0,2,0,3,2,1,0,2,4,2,3,5,5,5,4,5,5,9,8,5,18,13,20,17,28,23,31,27,45,43,43,46,68,64,83,95,106,99,149,141,170,199,217,308,358,382,387,423,462,586,659,698,900,1009,1244,1380,1641,1898,2581,2948,3383,6795,4718,5905,7212,8421,11918,13985,19490,30769,48767,105179,414601,532509,110628,52784,33171,21704,15713,11140,8202,6358,5545,4228,3537,3035,2530,2260,1848,1546,1327,1064,991,878,731,651,552,476,437,346,304,293,241,202,188,156,133,120,115,108,84,62,52,51,43,33,31,22,25,23,20,9,15,17,19,13,9,4,8,7,6,1,1,4,3,1,1,1,2,1,2,0,1,2,0,1,1
739,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,5,1,2,3,0,2,1,6,1,8,11,7,19,26,35,60,83,84,110,115,138,137,177,214,198,244,242,1014,342,364,471,578,655,855,957,1100,1300,1568,1943,2365,2961,4248,5896,8982,14991,43974,334442,26343,12840,8417,5578,3701,2475,1729,1302,952,734,641,530,460,353,296,214,185,150,130,100,119,97,109,82,85,107,83,60,78,41,28,25,19,8,8,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
738,2,1,0,0,0,0,2,0,2,1,1,2,5,3,2,2,3,2,3,5,3,15,9,13,12,15,10,14,15,15,24,28,40,38,50,55,63,70,88,108,189,165,172,182,228,292,334,445,530,680,837,981,1188,1543,3822,2333,2974,3561,4631,5881,7239,9674,12882,16956,22011,30219,42671,70612,250904,573146,70329,41354,28809,21146,16222,12622,10039,8269,6677,5604,4612,3946,3230,2802,2420,1980,1726,1471,1270,1069,899,744,613,568,488,417,375,338,317,287,241,226,235,201,179,159,131,134,124,125,141,94,111,93,67,66,54,69,54,51,58,48,41,31,29,20,31,23,20,13,10,19,3,10,10,6,6,4,3,2,1,2,1,0,0,0,0,0,0,1
737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2,4,6,4,1,2,4,6,6,9,5,13,7,261,208,208,28,29,36,46,56,62,83,106,117,194,688,450,370,547,745,688,900,1327,1688,1731,2828,3339,4793,7592,14051,143300,23704,8326,5509,3607,2765,2411,1481,1456,950,684,502,861,467,290,233,181,140,140,85,62,54,50,312,47,27,20,23,21,20,8,9,3,5,9,8,2,2,2,2,2,1,0,1,7,8
736,1,0,0,1,1,2,1,1,1,0,0,0,3,3,2,9,5,5,10,7,6,7,5,6,7,13,14,16,26,28,39,21,43,45,35,39,55,69,81,80,103,101,142,134,156,217,195,238,291,336,416,493,616,711,844,1095,1272,1687,2049,2561,3107,3916,4808,7483,7772,9775,13894,17574,25178,36207,61205,112864,486500,329894,110379,55512,34970,23918,17403,14249,9337,7324,5788,4270,3376,2819,2113,1757,1502,1199,892,764,635,551,429,376,333,257,202,184,145,129,130,96,74,76,59,55,57,48,35,28,26,13,10,16,6,14,11,6,4,6,4,4,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,2,0,1,5,2,3,3,7,2,7,5,12,5,14,15,20,18,30,45,42,65,58,90,109,112,150,200,1609,239,312,370,466,513,601,765,1022,1335,1832,2312,3069,4472,6376,10038,17127,36720,159803,343585,41694,19521,11115,7095,4819,3461,2557,1902,1440,1041,927,694,518,446,337,328,222,203,202,152,99,96,89,71,81,63,36,31,36,28,16,22,13,6,9,9,3,2,1,1,1,1,1,0,3,0,2,2,4,0,3,2,1,5,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,3,7,2,2,4,4,8,8,8,11,16,18,14,15,24,27,25,37,32,37,63,142,304,584,426,200,221,359,428,614,663,586,637,753,954,1148,1581,1859,2572,3393,4806,6763,9901,15296,25172,47889,127135,278086,69933,33088,18438,11733,7916,5750,3973,3017,2362,1825,1428,1226,917,759,662,558,486,427,380,341,321,225,150,114,119,93,82,71,59,48,50,64,53,53,50,48,53,54,50,67,53,58,39,30,22,8,14,7,3,1,2,0,0,0,0,0,2
733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,7,10,23,12,16,15,616,486,38,43,35,44,34,39,56,46,38,89,147,123,208,286,353,456,659,967,1109,1695,2232,3276,4957,7950,13884,28738,91185,167531,34228,15966,8725,5777,3595,2538,1880,1358,1029,688,500,401,283,274,194,147,117,94,75,64,86,57,39,44,37,27,31,25,34,28,16,20,16,15,9,8
