,Brightness
0,0.40968504075944945
1,0.3979340063210032
2,0.5197491119877531
3,0.35526510658371335
4,0.404775578840059
5,0.34111888347392005
6,0.5386860264055835
7,0.5548274926622684
8,0.5270412497643208
9,0.4118773635235381
10,0.4216380368552093
11,0.4848157763307137
12,0.44652441436709744
13,0.2783487073964176
14,0.5428459062391678
15,0.35860618394667176
16,0.5338410746066774
17,0.48663158164346354
18,0.49980435625670283
19,0.5389558391142115
20,0.5010627131953146
21,0.29373443777587815
22,0.4454696867284671
23,0.3007727654016361
24,0.42660396869721395
25,0.6653123896845298
26,0.581024860203435
27,0.569868466888041
28,0.27207301532223216
29,0.5282782624480898
30,0.2872961205109412
31,0.6129190395139701
32,0.4915181538000236
33,0.1976845023129268
34,0.5166780260496511
35,0.14213131542992272
36,0.42883224367137784
37,0.44749284267891853
38,0.5791310583049863
39,0.7987444862257822
40,0.5189330717104497
41,0.7613093643980814
42,0.49762831682133735
43,0.4072446244015854
44,0.7028165947679351
45,0.4935105811271948
46,0.617749204035161
47,0.36509026861387417
48,0.6477359756347164
49,0.538972240309548
50,0.3617900898070522
51,0.3226019561605169
52,0.6535810458452922
53,0.9172679732271549
54,0.4634836294124616
55,0.5743490200738207
56,0.4887053341727491
57,0.510001264591817
58,0.24587424158434593
59,0.579463323254543
60,0.601746241338599
61,0.6205239624442498
62,0.28867861936535666
63,0.7577296590028127
64,0.5928389116494236
65,0.3936506842590032
66,0.654187846001162
67,0.6071723875984455
68,0.7766066252742151
69,0.36410209789374126
70,0.7373617638433753
71,0.23937614834803075
72,0.5266625037198421
73,0.5263329611655624
74,0.6298701983544509
75,0.7364022592480719
76,0.5534381115985659
77,0.5235308262180565
78,0.47963477266925225
79,0.540435839224861
80,0.48764670012309197
81,0.35469854552975477
82,0.8500836622377241
83,0.3780549867940477
84,0.328874544676229
85,0.5611714191664051
86,0.3791069643185506
87,0.30686106547223835
88,0.619991390703704
89,0.5435703611343645
90,0.4551082183724767
91,0.57262296458201
92,0.6202849242062918
93,0.6171282709797791
94,0.7756202891382447
95,0.3616253089591013
96,0.9051324912009009
97,0.38474148907001415
98,0.5560116477562227
99,0.49619294743106523
100,0.5780811204794774
101,0.34976692662601916
102,0.7948594759725511
103,0.49059320083387437
104,0.4600939061396381
105,0.5713859592646046
106,0.7774708663758046
107,0.4233910113404633
108,0.7639247002904812
109,0.45078599387043206
110,0.8860674235205264
111,0.4601376217511298
112,0.6118844123310474
113,0.42353134504319423
114,0.7835816376679778
115,0.43546629550341187
116,0.3537397877342193
117,0.771234026987566
118,0.48960340490529697
119,0.7855229610331625
120,0.5044215762334509
121,0.6477651851140087
122,0.522472722456458
123,0.39288503175811096
124,0.4783312661004584
125,0.5496772017258619
126,0.5495235907377757
127,0.5158611899059933
128,0.4871908630905297
129,0.3899842768708388
130,0.5453161939188754
131,0.43167218742189795
132,0.5490720454393012
133,0.6149522738224188
134,0.5554016409668765
135,0.5039888176889045
136,0.43406995847024565
137,0.3655267129920259
138,0.626148442813672
139,0.6589992321664342
140,0.6375283758608838
141,0.11302162456825929
142,0.5157779973565892
143,0.13149494877642168
144,0.5494831995805368
145,0.48903021212043574
146,0.4603886138458768
147,0.48753124450651386
148,0.7490288845328871
149,0.4224187234967214
150,0.7054948945091247
151,0.5386830518171327
152,0.8221746463711191
153,0.512893658344803
154,0.394164618023058
155,0.4088728807378391
156,0.8541926575210752
157,0.3952819813791624
158,0.9288513925659088
159,0.8070418912657928
160,0.4384392852628832
161,0.41365638584370956
162,0.5204221047909386
163,0.4870105551896008
164,0.1687810009460163
165,0.7886000913602528
166,0.32774089956660446
167,0.5507120685845999
168,0.9462527814256865
169,0.4333853960484936
170,0.4945889189865402
171,0.5277477137054598
172,0.5651414398689043
173,0.7220866766246872
174,0.5936617252960227
175,0.21083859975310856
176,0.43499580483089173
177,0.7360492186195373
178,0.5009354047067895
179,0.4110592780980751
180,0.6287747280552689
181,0.6995755830459891
182,0.6717405750915657
183,0.6230744716088034
184,0.6998854158280429
