,Brightness
0,0.5545406707080055
1,0.6103745283537313
2,0.6773013353977101
3,0.5811120533162218
4,0.6418135003435569
5,0.435401585259804
6,0.37600536250995564
7,0.4451613208013059
8,0.6637875605796011
9,0.5209039864539909
10,0.811614636155974
11,0.8358016753356163
12,0.7715338601958969
13,0.7117288688773984
14,0.8710755849214096
15,0.7808338612610349
16,0.13685279142417844
17,0.7576423643368825
18,0.5521537520209735
19,0.4305692553360264
20,0.30190752500935814
21,0.7882528207070378
22,0.6055571446776061
23,0.6794236016559526
24,0.5960057866021194
25,0.21000551768833903
26,0.6239673776665694
27,0.3182671911886412
28,0.0
29,0.5420753608646375
30,0.7644503131319662
31,0.7044796765389526
32,0.6393464088507507
33,0.8117856599048923
34,0.5678092695567811
35,0.5531711228770002
36,0.8132033685353255
37,0.3781742346327075
38,0.5619864778150531
39,0.1586930076608325
40,0.7254015595348622
41,0.9342534390168222
42,0.4733944759281066
43,0.576392868780869
44,0.643740504593719
45,0.6103483090149184
46,0.7325647923574677
47,0.375844726655549
48,0.7229916492749234
49,0.46380164023182535
50,0.5548343232431803
51,0.6033302183759658
52,0.470656778197054
53,0.8019064602633548
54,0.5782426600543994
55,0.7301865496958024
56,0.7570552965801546
57,0.5979485347592919
58,0.7223214008218451
59,0.562839131928512
60,0.5443416941681942
61,0.3236905696786021
62,0.6147488983644422
63,0.4399758154864607
64,0.43477464139940647
65,0.5413239883955111
66,0.506136692541536
67,0.7599380382540409
68,0.8481681762024178
69,0.7772562003373771
70,0.8448460576510424
71,0.5599852549116144
72,0.6729146836233002
73,0.5193216285640639
74,0.62636500847716
75,0.5931122100638963
76,0.6431436417856969
77,0.5847445050892229
78,0.7154730236011455
79,0.6033069863718358
80,0.6132295424778584
81,0.6755324899904276
82,0.49904452470546634
83,0.6584284422969912
84,0.6521179754235985
85,0.8194357076968981
86,0.3206495139718014
87,0.748895927555123
88,0.894321872132755
89,0.5138201817294202
90,0.7515491086540058
91,0.32572116644386373
92,0.4364274992470124
93,0.5942012683045316
94,0.9332383326531541
95,0.5284827119525425
96,0.8567147569865885
97,0.7491198822900293
98,0.551260235507294
99,0.7534394326577729
100,0.8641743663728769
101,0.5489791854798127
102,0.7891847897415885
103,0.9322686176863195
104,0.9036225809196665
105,0.8395011632175011
106,0.6702391310451491
107,0.6231853523573943
108,0.5896722647380317
109,0.5619280115906178
110,0.5455653386550813
111,0.7582211133245261
112,0.6070991285033311
113,0.45838497060169825
114,0.7205300105050659
115,0.9155064426017223
116,0.8766886920244898
117,0.47603163875465215
118,0.6938595957036374
119,0.9009129608421793
120,0.8877475534500361
121,0.7863100685133044
122,0.850514117745681
123,0.4532591858651305
124,0.5939001935412713
125,0.3191355508354847
126,0.6370475398380101
127,0.5846864844726162
128,0.7512333037272294
129,0.9094836478906325
130,0.5695416296013316
131,0.6131159719245599
132,0.6778429870034131
133,0.6375222383323192
134,0.6015209679010769
135,0.39941545883634755
136,0.5351806954743573
137,0.3971140320523361
138,0.43102575029688095
139,0.5768220312023301
140,0.6821605218219308
141,0.6496105115863288
142,0.8417449552137648
143,0.7252939026796583
144,0.48888532960550235
145,0.66642703979787
146,0.8888776825867233
147,0.6231294757599767
148,0.9182952259702246
149,0.9054464485171354
150,0.7348571709139328
151,0.7202020941570588
152,0.8500275041224354
153,0.554890467095961
154,0.6027648608857901
155,0.26090905968606987
156,0.859301796751623
157,0.6198104016669224
158,0.45399124445027017
159,0.8231189952363611
160,0.4465729848978345
161,0.539978270897707
162,0.4132217961408877
163,0.5377206010687549
164,0.6769413205325074
165,0.8989903248676403
166,0.6194946804412491
167,0.7990070972885417
168,0.477393171735053
169,0.859278205595583
170,0.3400313729168182
171,0.45706039198538073
172,0.9413656570052529
173,0.5818666551374211
174,0.9424571479512367
175,0.43461087951011623
176,0.7565870963368699
177,0.39612090089196594
178,0.5562392355021182
179,0.6014836287605625
180,0.6240805308793086
181,0.9475342650256846
182,0.48780011455081296
183,0.5055394246578474
184,0.8901369642793395
185,0.6172988119278489
186,0.43574468482978157
187,0.453494926687815
188,0.8689455500301173
189,0.7466466358999259
190,0.676120989429816
191,0.46625997462026125
192,0.7284168311476432
193,0.6860329974873125
194,0.8317061026845982
195,0.8710429091342506
196,0.8120763115272829
197,0.9179200389620883
198,0.495678445864113
199,0.42878913532290974
200,0.841820452814589
201,0.8034840718589569
202,0.8918042439425198
203,0.8069285347661199
204,0.40008043546185756
205,0.5317590120566483
206,0.6797789341419164
207,0.4535969464027978
208,0.4255388980617164
209,0.4407095735884947
210,0.4495364475410202
211,0.958899732364102
212,0.38153160683024834
213,0.8964546977818431
214,0.9548706486963086
215,0.8930132303392873
216,0.45711565946302646
217,0.8261917813737332
218,0.33171997536855324
219,0.9203408819598575
220,0.5189422417097524
221,0.8528058111566459
222,0.551845886784983
223,0.6901267502801617
224,0.49614497544858005
225,0.7541654247243217
226,0.5542185935465211
227,0.36928754229101246
228,0.8391166042828591
229,0.5709399666842123
230,0.7546993463225823
231,0.7609113953083516
232,0.8324253069774956
233,0.3507638564929785
234,0.42285052618088503
235,0.7372087842102036
236,0.6400204119784195
237,0.5545459163147738
238,0.8575930371285005
239,0.26495874647936934
240,0.7901325548137088
241,0.7313843803002922
242,0.41447616804197696
243,0.7443517885827396
244,0.4732514508102744
245,0.7762402005253056
246,0.47846839763569093
247,0.455450956278161
248,0.5403438121396275
249,0.48907525362692716
250,0.9115896670831116
251,0.6484340284668348
252,0.7238066475975581
253,0.9387825455086154
254,0.668949322455807
255,0.5325769803900644
256,0.8245520340311985
257,0.6298260996885922
258,0.5123789498766782
259,0.6826892678254708
260,0.893773320233272
261,0.8122452316317845
262,0.8281221444028852
263,0.7173139523765384
264,0.64096507016742
265,0.5972798088802329
266,0.6198981627998043
267,0.9139922199508657
268,0.7859512516425776
269,0.5263650922325066
270,0.8287833297040912
271,0.5759805933355711
272,0.8102636609658744
273,0.8204204831501603
274,0.5739804534117321
275,0.8507623376243065
276,0.6093531932914114
277,0.5119883652679497
278,0.7800728171238396
279,0.4554512724069718
280,0.775689733965081
281,0.7302819009954122
282,0.8741551239315204
283,0.6453512541327188
284,0.406241041167444
285,0.7768938901382564
286,0.8274012137602318
287,0.4236263612055927
288,0.5671630457313588
289,0.6016789438317595
290,0.8506044752653761
291,0.7253749284886675
292,0.8138310879483905
293,0.4931051947870402
294,0.4942160472664947
295,0.8741292952752644
296,0.5367658395997023
297,0.5859763788586161
298,0.5995102101634876
299,0.30902642024727667
300,0.820054310552492
301,0.7038128648087294
302,0.4346852981431306
303,0.5927558744077993
304,0.6361958790184454
305,0.4296987111720274
306,0.3980140647693443
307,0.7916714075694105
308,0.6513558821970362
309,0.40193233595989164
310,0.8642856969035646
311,0.8565569245897151
312,0.9141113407681594
313,0.5294651659443872
314,0.48294428101639786
315,0.5543716722707829
316,0.6444952939681441
317,0.7716570166122281
318,0.9004055101046158
319,0.34623801083451655
320,0.4903063132695822
321,0.5401457381360418
322,0.5152982361435243
323,0.5924808433868756
324,0.559218245566056
325,0.9264170540227958
326,0.5145571278935286
327,0.4133600914086657
328,0.8481393329298725
329,0.6795850601405975
330,0.6559745542758648
331,0.5470773987669876
332,0.488763300066522
333,0.8855924026448645
334,0.4917904717325956
335,0.6269510838517895
336,0.7517350306030434
337,0.4536880831779918
338,0.6189539786002703
339,0.6720341779232417
340,0.4448910465689043
341,0.8561199730590336
342,0.4505598737231241
343,0.5806345263359737
344,0.5304729179813313
345,0.43905461674380775
346,0.8959187097647099
347,0.44413573490400593
348,0.5306789025854779
349,0.9067268618774318
350,0.38455383598351833
