,Hue,Saturation,like_rate
0,0.11901974817714547,0.6819606100696033,0.14050655371004747
1,0.40186929281087513,0.6581757702686098,0.15163580196773668
2,0.21526849042283383,0.5426806475505854,0.13245314998571747
3,0.5976433467138937,0.6964660882481521,0.2449345552958566
4,0.510096828441281,0.6935712281393149,0.18361701694513904
5,0.4407406230652544,0.5644844768313712,0.38897674470277177
6,0.32337031180875786,0.40311313905624,0.30657842223559517
7,0.2646381542116354,0.4417841599993128,0.3220428433622102
8,0.5467966534362335,0.5287911109292395,0.23095546618136728
9,0.4732406083863623,0.5644387068705908,0.26302724051527676
10,0.2429238840443729,0.38156866613507784,0.12763780439435476
11,0.22945174381196384,0.5926377689827873,0.2395913042853213
12,0.3080768216218366,0.18225119227764738,0.08341636017933297
13,0.28591096030280627,0.47137684306463984,0.11066643118155876
14,0.22811773864734328,0.4240750626240132,0.08218291453270438
15,0.43350878126180026,0.12732396882985708,0.11037764325631029
16,0.0800158503254598,0.07883849978588,0.038076309202706646
17,0.5212608348581379,0.1472915617999712,0.10789930406849009
18,0.3937423488524362,0.15656279872086645,0.10817915583867511
19,0.4413635402120609,0.3359881021166845,0.0897089390064931
20,0.08735782586202406,0.3953403016875361,0.09362516021756087
21,0.45780188724646986,0.4168757489134913,0.15338244547370078
22,0.38218779056343033,0.611493468794223,0.45079996056147154
23,0.4894830946682449,0.24176416013498148,0.10712329891656504
24,0.06262287191758512,0.763442033162164,0.11949840188953133
25,0.11254404439564691,0.19538536990193528,0.1327172618833811
26,0.45053998854873967,0.236060755301019,0.0744980274423823
27,0.4558867977424592,0.5320166023908605,0.20455229564720973
28,0.41930497390617727,0.37628648418291766,0.09728638042908375
29,0.5979896492743886,0.10295895255542724,0.06006806935680514
30,0.07808611731408871,0.30456875423801094,0.0989890427695615
31,0.31103188819802297,0.17407971243552883,0.07015728045318227
32,0.6706128366404042,0.4230998633739058,0.11770246945967593
33,0.3268068203835136,0.2465332130158148,0.07632976915019848
34,0.17538296858479513,0.0732555196275177,0.07207914925538866
35,0.11666249892566416,0.14347178462176338,0.07031734067798719
36,0.5558517422398818,0.11550734832944419,0.029408684794617664
37,0.635567165656805,0.2690632383463606,0.11435096333022567
38,0.16108276654938955,0.5215217103854174,0.34526351051389415
39,0.12268794231212216,0.1155211598691053,0.20268913708139935
40,0.38309223067229137,0.5697853152799904,0.38242931882017034
41,0.3053221074180411,0.04067943371818172,0.1815466729648286
42,0.21870692374347486,0.3301684042024531,0.053813545148490724
43,0.2707354925594768,0.2029777714480182,0.07092676489921373
44,0.09724893261840781,0.33046432584528657,0.06002189786139507
45,0.439689987585939,0.09266356476835629,0.08927743207317032
